Apartment Name,Address,Phone,Price Low,Price High,StatusFall25,Housing Type,Residents,ParkingSpaces,Deposit,FloorPlanNumber,WebAddress,Latitude,Longitude,PublicDescription,CrowFlyMetersToMC,CrowFlyMetersToRicks
GREENBRIER - MEN,"129 Princeton Ct Rexburg, ID
                                                        83440",208-356-3001,1160,1160,Full,Approved Men's Housing,48,40,80,1,www.rexburgstudenthousing.com/new/property/8,43.82296721,-111.7790142,"With men and women’s housing in adjacent Greenbrier buildings, there is a fantastic sense of community and a terrific social environment! Residents love the huge sun windows in the living room and the washer/dryer in each unit. You’ll enjoy tons of greenspace for games, volleyball, a basketball court, firepits, and a lounge for fun, music, and study!",575.5070633,917.8339828
GREENBRIER - WOMEN,129 Princeton Ct.,208-356-3001,970,1770,Full,Approved Women's Housing,92,40,80,9,www.rexburgstudenthousing.com/new/property/8,43.82296721,-111.7790142,"With men and women’s housing in adjacent Greenbrier buildings, there is a fantastic sense of community and a terrific social environment! Residents love the huge sun windows in the living room and the washer/dryer in each unit. You’ll enjoy tons of greenspace for games, volleyball, a basketball court, firepits, and a lounge for fun, music, and study!",575.5070633,917.8339828
GREENBRIER HOUSE,"129 Princeton Ct Rexburg, ID
                                                        83440-1956",208-356-3001,1350,1350,Full,Approved Men's Housing,6,40,80,1,www.rexburgstudenthousing.com/new/property/9,43.82296721,-111.7790142,"With men and women’s housing in adjacent Greenbrier buildings, there is a fantastic sense of community and a terrific social environment! Residents love the huge sun windows in the living room and the washer/dryer in each unit. You’ll enjoy tons of greenspace for games, volleyball, a basketball court, firepits, and a lounge for fun, music, and study! Plus a fun and friendly staff.",575.5070633,917.8339828
HERITAGE - MEN,"129 W 4th S Rexburg, ID
                                                        83440",208-356-7952,1550,1550,Full,Approved Men's Housing,180,145,150,1,HeritageRexburg.com,43.8170066,-111.7877421,"Hands down best location across the street from campus and the BYU-Idaho Center. Newly renovated with new appliances, cabinetry and a washer & dryer.  At Heritage you’ll find very affordable pricing, a huge clubhouse with a full kitchen, a piano room, WiFI internet, and 2 fitness rooms.",451.5567642,566.6832867
HERITAGE - WOMEN,129 W 4th S,208-356-7552,1550,1550,Waiting List,Approved Women's Housing,192,145,150,1,HeritageRexburg.com,43.8170066,-111.7877421,"Hands down best location across the street from campus and the BYU-Idaho Center. Newly renovated with new appliances, cabinetry and a washer & dryer.  At Heritage you’ll find very affordable pricing, a huge clubhouse with a full kitchen, a piano room, WiFI internet, and 2 fitness rooms.",451.5567642,566.6832867
HILLCREST TOWNHOUSES - MEN,"465 S 2nd E Rexburg, ID
                                                        83440",208-356-7211,1225,1625,NA,Approved Men's Housing,64,60,150,3,www.hillcrest-townhouses.com,43.81597311,-111.7773619,"Hillcrest is a GREAT place to live! The townhouse style apartments make you feel as if you are right at home. Hillcrest has both men's and women's private and shared rooms making one complete ward. All townhouses occupy only four tenants to each townhouse making plenty of room for all! Come in and take a tour and see our amenities that include an on-site gym, theatre, study room, and FREE laundry.",495.3157078,342.3254765
HILLCREST TOWNHOUSES-WOMEN,465 E 2nd S,208-356-7211,1225,1625,Full,Approved Women's Housing,76,0,150,2,www.hillcrest-townhouses.com,43.81597311,-111.7773619,"Hillcrest is a GREAT place to live! The townhouse style apartments make you feel as if you are right at home. Hillcrest has both men's and women's private and shared rooms making one complete ward. All townhouses occupy only four tenants to each townhouse making plenty of room for all! Come in and take a tour and see our amenities that include an on-site gym, theatre, study room, and FREE laundry.",495.3157078,342.3254765
JACOB'S HOUSE,"149 E 2nd S Rexburg, ID
                                                        83440",208-356-3001,1260,1590,NA,Approved Men's Housing,11,50,80,1,www.rexburgstudenthousing.com/new/property/4,43.82206542,-111.7792341,"This house has an unbelievable kitchen with a huge island and two fridges. With over 3,000 square feet, it feels very spacious and comfortable. There are two sets of washer/dryers, a back porch, and tons of parking available. Additionally, this home comes with 5 extra study/workout/music rooms, 4 bathrooms, and 3 exits out of the home. It is also less than a block from campus!",480.4874038,816.1410393
JORDAN RIDGE,"291 E 7th S Rexburg, ID
                                                        83440-2466",208-359-2221,1799,1799,Full,Approved Men's Housing,360,350,150,3,www.meet-me-at-the-ridge.com,43.8120309,-111.7758519,"College is about students defining their future. We want to create a living environment that empowers student to do just that. We want to provide a framework for your future. *ALL PRIVATE BEDROOMS* All inclusive: Free laundry (3 Building have W/D in Units, free parking, Roku TV, internet, Fitness center, hot tub, BBQ & more. BEST view in town!",890.124791,543.3065408
KENSINGTON MANOR - MEN,"345 S 2nd E Rexburg, ID
                                                        83440",208-356-4473,1175,1175,NA,Approved Men's Housing,108,95,125,1,www.kensingtonmanorrexburg.com,43.81843488,-111.7776436,"Make yourself at home at the Kensington Manor Apartments, located across the street from campus and can be seen from the BYU-I bookstore. Choose from three different layouts including our new, larger apartments.

""I would pick living at Kensington Manor over any other apartment complex! Wonderful Manager, terrific location, nice rooms and the best ward on campus!” –Susie",389.8951194,494.4145932
KENSINGTON MANOR - WOMEN,345 S 2nd E,208-356-4073,1275,1325,Waiting List,Approved Women's Housing,108,95,125,3,www.kensingtonmanorrexburg.com,43.81843488,-111.7776436,"Make yourself at home at the Kensington Manor Apartments, located across the street from campus and can be seen from the BYU-I bookstore. Choose from three different layouts including our new, larger apartments.

""I would pick living at Kensington Manor over any other apartment complex! Wonderful Manager, terrific location, nice rooms and the best ward on campus!” –Susie",389.8951194,494.4145932
LA JOLLA - MEN,"65 S 1st W Rexburg, ID
                                                        83440-1869",(208) 359-1985,1350,1350,Full,Approved Men's Housing,72,200,150,1,www.LaJollaRexburg.com,43.82439535,-111.7863473,"La Jolla is a mixed gender complex conveniently located one block north of campus.  It's surrounded by campus, grocery stores, job opportunities on Main St, and many food places.  You’ll find a BBQ area, basketball court, covered bike pavilion, high speed internet, a fitness room, piano room,and a lounge that includes a fireplace, full kitchen, a 70"" Smart TV, and games! Call us for more perks!",730.8388124,1131.38228
LA JOLLA? WOMEN,65 S 1st W,208-359-1985,1450,1450,Full,Approved Women's Housing,234,200,150,1,www.LaJollaRexburg.com,43.82439535,-111.7863473,"La Jolla is a mixed gender complex conveniently located one block north of campus.  It's surrounded by campus, grocery stores, job opportunities on Main St, and many food places.  You’ll find a BBQ area, basketball court, covered bike pavilion, high speed internet, a fitness room, piano room,and a lounge that includes a fireplace, full kitchen, a 70"" Smart TV, and games! Call us for more perks!",730.8388124,1131.38228
"LANDING, THE - MEN","359 W 4th S Rexburg, ID
                                                        83440",208-356-9560,1800,1800,Full,Approved Men's Housing,148,82,100,2,thelandingrexburg.com,43.817429,-111.79445,"The Landing has everything you need, including a large kitchen with granite countertops, two refrigerators, stainless steel appliances, A/C, personal built-in desks, in-apartment washer/dryer, separate vanities and bathrooms, free campus shuttle, and much more. The courtyard between the buildings also creates an amazing social environment right out your front door.  Spots go fast so sign today!",968.729391,1092.106903
"LANDING, THE - WOMEN",359 W 4th S,208-356-9560,1800,1800,Full,Approved Women's Housing,166,82,100,2,thelandingrexburg.com,43.817429,-111.79445,"The Landing has everything you need, including a large kitchen with granite countertops, two refrigerators, stainless steel appliances, A/C, personal built-in desks, in-apartment washer/dryer, separate vanities and bathrooms, free campus shuttle, and much more. The courtyard between the buildings also creates an amazing social environment right out your front door.  Spots go fast so sign today!",968.729391,1092.106903
LEGACY RIDGE,667 S and E,208-359-2211,1799,1799,Waiting List,Approved Women's Housing,288,288,150,3,www.meet-me-at-the-ridge.com,43.81212542,-111.7772037,"College is about students defining their future. We want to create a living environment that empowers student to do just that. We want to provide a framework for your future. *ALL PRIVATE BEDROOMS* All inclusive: Free laundry (4 Buildings have W/D in Units, free parking, Wifi live TV, internet, flat screen TV, Fitness center, hot tub, BBQ & more. BEST view in town!",820.4479999,452.1319012
"LODGE, THE - MEN","538 S 2nd W Rexburg, ID
                                                        83440",208-356-5638,1629,1759,Waiting List,Approved Men's Housing,474,575,100,10,www.rexburglodge.com,43.8146067,-111.7914328,"Designed with you in mind, we have up to 6 different floor plans to choose from, with a bathroom for each bedroom, a 5 level parking garage connecting every floor, memory foam mattresses, garbage shoots, a washer and dryer in every apartment, and the latest internet with a high-speed router for each apartment.",836.0893782,812.5871961
"LODGE, THE - WOMEN",538 E Main St,208-356-5638,1629,1859,Waiting List,Approved Women's Housing,550,575,100,21,www.rexburglodge.com,43.8146067,-111.7914328,"Designed with you in mind, we have up to 6 different floor plans to choose from, with a bathroom for each bedroom, a 5 level parking garage connecting every floor, memory foam mattresses, a washer and dryer in every apartment, and the latest internet with a high-speed router for each apartment.",836.0893782,812.5871961
MILANO FLATS - MEN,"440 S 2nd W Rexburg, ID
                                                        83440",(208) 356-3480,1770,1820,Waiting List,Approved Men's Housing,142,240,150,3,www.milanoflats.com/,43.81698337,-111.7899147,"Milano Flats offers all private rooms. Our amenities include a hot tub, two grills, a fitness center, study room with free printing, music room, pool table, fire pits, tanning beds, and more. The apartments include radiant floor heating and a/c units . We have lots of parking if you own a vehicle, if not, we are just a 10 minute walk to most buildings on campus. Come check us out!",618.8645057,728.3769321
MILANO FLATS - WOMEN,440 S Main St,208-354-3480,1770,1820,Waiting List,Approved Women's Housing,142,240,150,3,www.milanoflats.com/,43.81698337,-111.7899147,"Milano Flats offers all private rooms. Our amenities include a hot tub, two grills, a fitness center, study room with free printing, music room, pool table, fire pits, tanning beds, and more. The apartments include radiant floor heating and a/c units . We have lots of parking if you own a vehicle, if not, we are just a 10 minute walk to most buildings on campus. Come check us out!",618.8645057,728.3769321
MOUNTAIN CREST,"132 S 3rd W Rexburg, ID
                                                        83440-1887",(208) 359-4193,1195,1245,Waiting List,Approved Men's Housing,42,42,100,3,www.mntcrestapts.com,43.82296721,-111.7928276,"Your Home Away From Home--With its awesome location, great amenity package & excellent rates, Mountain Crest is the ideal approved housing for young men. We are located right across the street from Porter Park. Included in our great rates are a WASHER/DRYER IN EACH UNIT as well as 2 fridges, HIGH-SPEED INTERNET, & free parking. Give us a call or drop in and check us out. You won't be disappointed.",971.9228661,1288.994612
NAUVOO HOUSE I,"175 W 5th S Rexburg, ID
                                                        83440-2388",(208)356-7756,1500,1500,Full,Approved Men's Housing,288,310,150,1,WWW.NAUVOOHOUSE.COM,43.81437058,-111.7887694,"Nauvoo House is a mixed gender complex, just a block away from campus.  At Nauvoo House, you can find the best social experience with friendly neighbors and events that will make your college experience a memorable one. We have fitness rooms, a 2-story clubhouse, theater rooms, basketball area, fiber optic internet, outdoor park and pavilion, BBQ grills and outdoor gas campfire!",677.9836768,600.4099068
NAUVOO HOUSE II,175 W 5th S,208-356-7756,1500,1500,Full,Approved Women's Housing,338,310,150,1,WWW.NAUVOOHOUSE.COM,43.81437058,-111.7887694,"Nauvoo House is a mixed gender complex, just a block away from campus.  At Nauvoo House, you can find the best social experience with friendly neighbors and events that will make your college experience a memorable one. We have fitness rooms, a 2-story clubhouse, theater rooms, basketball area, fiber optic internet, outdoor park and pavilion, BBQ grills and outdoor gas campfire!",677.9836768,600.4099068
NORTHPOINT - MEN,"141 S 1st W Rexburg, ID
                                                        83440",208-681-9542,1545,1795,Waiting List,Approved Men's Housing,476,389,100,36,www.NorthPointRexburg.com,43.82217379,-111.7862615,"Experience the finest men's housing in Rexburg. Located directly across from campus with modern, comfortable apartments and amazing amenities.  Sign up on our website or come in for a tour.",513.9680574,901.9529539
NORTHPOINT-WOMEN,141 S 1st W,208-881-9542,1545,1775,Waiting List,Approved Women's Housing,548,389,150,6,www.NorthPointRexburg.com,43.82217379,-111.7862615,"Experience the finest men's housing in Rexburg. Located directly across from campus with modern, comfortable apartments and amazing amenities.  Sign up on our website or come in for a tour.",513.9680574,901.9529539
PARK VIEW APTS - MEN,"154 S 3rd W #1101 Rexburg, ID
                                                        83440",208 356-3697,1250,1650,Full,Approved Men's Housing,51,61,100,10,www.parkviewrexburg.com,43.82278143,-111.7928329,"Directly across the street from beautiful Porter Park and only two blocks away from campus, Park View Apartments offers walking distance access for students, while maintaining a home environment feeling.  We offer many different floor plans with a washer and dryer in each unit.  With a great ward, unique setup fun outdoor space and a great new game room, come see if this is the place for you!",961.7720501,1275.001326
PARK VIEW APTS - WOMEN,154 South 3rd West #1101,208-356-3697,1350,1650,Full,Approved Women's Housing,60,100,60,5,www.parkviewrexburg.com,43.82278143,-111.7928329,"ParkView is made up of charming homes converted into apartments. Overlooking Porter Park and surrounded by mature trees and open grassy areas, it offers a cozy atmosphere, a great ward, and an affordable price. With a variety of floor plans to choose from and completely free resident parking, ParkView is a place you?ll love to call home.",961.7720501,1275.001326
PINCOCK HOUSE,"163 E 2nd S Rexburg, ID
                                                        83440",208-356-3001,1770,1770,Full,Approved Men's Housing,7,50,80,1,www.rexburgstudenthousing.com/new/property/5,43.822094,-111.778896,"This is one of the most popular places at BYU-Idaho because it has 7 private bedrooms! Private bedrooms are perfect because they give space to study and rest peacefully. The home has a very large floor plan; a big kitchen; two fridges; a spacious living room; tons of parking; a lounge with ping-pong, TV, study tables, and piano.",498.4225118,825.3017945
"PINES, THE - MEN","140 W 2nd S Rexburg, ID
                                                        83440-2601",208-356-5605,1150,1190,NA,Approved Men's Housing,200,200,150,3,pineshousing.com,43.82246794,-111.7876455,"The Pines is a BYU-I approved men and women's housing complex. We are located across the street from campus next to the stadium. The Pines is within walking distance to movie theaters, restaurants, shops, and grocery stores. We have a pool table, fire pit, on site laundry, pianos, and exercise equipment. Save over $150 when you sign a multiple semester contract!",610.1699074,983.9334811
"PINES, THE - WOMEN",140 W D St,208-356-8553,1150,1235,Waiting List,Approved Women's Housing,126,173,150,6,pineshousing.com,43.82246794,-111.7876455,"Enjoy flat screen TV’s, high speed internet, and new carpet. Relax by the fireplace in our lobby or build your own fire in our outdoor fire pit. Use our exercise room or try out our piano. With our location and social activities, we are the place to be! To save over $150, sign a Dual Semester Contract for only $1000 per semester!",610.1699074,983.9334811
PINNACLE POINT- MEN,"51 S 1st E Rexburg, ID
                                                        83440",208-356-0779,1450,1450,NA,Approved Men's Housing,90,84,100,4,www.rexburgpinnacle.com/,43.82454242,-111.7803338,"Don't miss out on Pinnacle Point. NO WHITE GLOVE CLEANING REQUIRED and $100 vending credit. Just one block away from campus, we provide Optix high-speed Internet, an amazing gym, theater room, and game room. Each apartment has air conditioning, flat screen TVs with Roku, and free onsite laundry. Call 208-360-2845 or visit us online at rexburgpinnacle.com!",1100,650
"RED DOOR, THE","135 S 1st E Rexburg, ID
                                                        83440-1950",208-356-3001,1090,1090,Full,Approved Men's Housing,48,25,80,1,www.rexburgstudenthousing.com/new/property/2,43.82312977,-111.7802373,"At Red Door, we have washers/dryers, wall-mounted TV’s, dishwashers, and double-sink vanities in every apartment! You’ll enjoy a fire pit and lounge for movie nights, studying, and foosball. It is super close to campus (only 1/2 block). The environment is social and friendly with both men’s and women’s housing.",551.688796,920.904107
RIVIERA APARTMENTS - MEN,"245 S 1st E Rexburg, ID
                                                        83440-2258",208-360-6790,995,1095,Full,Approved Men's Housing,32,38,200,2,www.riviera-apts.com/,43.82015341,-111.7805055,"Check our Website for Discounts!! With our friendly homey atmosphere, we're your perfect 'home away from home'. So close to campus, we're almost part of it. We're just steps away from the heart of campus. You can quickly walk anywhere. No hassle finding parking. Come be a part of Riviera!",210,650
RIVIERA APARTMENTS - WOMEN,245 S 1st E,208-360-6790,995,995,Full,Approved Women's Housing,66,38,200,1,www.riviera-apts.com/,43.82015341,-111.7805055,"Check our Website for Discounts!! With our friendly homey atmosphere, we're your perfect 'home away from home'. So close to campus, we're almost part of it. We're just steps away from the heart of campus. You can quickly walk anywhere. No hassle finding parking. Come be a part of Riviera! 6-girl apartments have 2 refrigerators, 2 bathrooms, 2 vanity sinks and so much more.",210,650
ROYAL CREST,340 S 1st W,208-356-7778,1195,1195,Full,Approved Women's Housing,342,135,150,3,WWW.ROYALCRESTAPARTMENTS.COM,43.81913933,-111.7877153,"If you are looking for affordable, comfortable, social living then Royal Crest is the place for you this semester. With our convenient location in Rexburg, you can be sure to be close to all the community and BYU-Idaho activities. With a serene and casual setting, you`re sure to feel at home with us.",427.4957157,697.881253
SHELBOURNE APARTMENTS - MEN,"570 S 2nd W Rexburg, ID
                                                        83440-2368",208-656-0746,1420,1585,Waiting List,Approved Men's Housing,168,118,125,2,www.shelbourneapts.com/,43.81358865,-111.7902285,"Come home to Shelbourne! HUGE double refrigerators in every unit, large living areas, & you can have your own private bedroom! Why share? In-unit washers and dryers (free), internet & big screen HDTV's. Stop by to take a tour and see for yourself what we have to offer! You can sure pay more, but you won't get much more. Convenient payment plans available. Come see what we have to offer..",1000,1200
SNOWVIEW APARTMENTS,12 W 2nd S,208-359-5517,1245,1445,Full,Approved Women's Housing,64,31,100,3,www.snowviewapts.com,43.82217379,-111.784341,"Our location is unbeatable! Just a crosswalk away from the heart of campus and walking distance from a grocery store, movie theater, and fun restaurants.These town homes house 4 ladies (That means more fridge space than a 6-person apartment!) and the bedrooms and bathroom are upstairs completely separate from the large living area. SnowView offers free laundry and fresh remodels!",440.7719997,845.6020927
SOMERSET APARTMENTS - MEN,"480 S 1st W Rexburg, ID
                                                        83440-2415",(208) 356-7699,1299,1299,Full,Approved Men's Housing,108,80,150,1,www.rexburghousing.com/somerset,43.81633696,-111.7875221,"Somerset is located directly across the street from the heart of BYU-Idaho's campus. With a large parking lot, a laundry room (not in the apt.), and 24-hour maintenance teams we offer top-notch service.  Come see our clubhouse where you can watch your favorite games and shoot pool with your buddies. We also have an onsite weight room, along with all of Rexburg Housing's other fantastic amenities!",467.4359598,523.0564489
SOMERSET APARTMENTS - WOMEN,480 S 1st W #Apt B4B5...,(208) 356-7699,1299,1299,Full,Approved Women's Housing,180,105,150,1,www.rexburghousing.com/somerset,43.81633696,-111.7875221,"Somerset is located directly across the street from the heart of campus. These apartments had a major renovation completed in Fall 2015 for women.  The wards are fantastic and is all contained within Somerset. It is an experience you will love! We have a piano room, weight room, and large lounge where you can spend time with your friends.  Spaces fill up quickly-reserve your spot today!",467.4359598,523.0564489
SUNDANCE - MEN,"266 W 3rd S Rexburg, ID
                                                        83440",208-881-4685,1715,1775,Waiting List,Approved Men's Housing,156,100,100,6,www.sundancerexburg.com,43.82002955,-111.7920283,"Sundance Apartments, BYU-Idaho’s newest Approved Housing for women and men is now leasing! Be the first to live in our custom built, high-end apartments located close to BYU-Idaho with amazing views and carefully planned gathering spaces and amenities.
We have 2 bedroom, 3 bedroom, and 4 bedroom units - all with private bathrooms, 65-in tvs, in apt laundry, and 2 fridges.",787.4119192,1032.850776
SUNDANCE - WOMEN,266 W Main St,208-881-4685,1715,1775,Waiting List,Approved Women's Housing,152,100,75,6,sundancerexburg.com,43.82002955,-111.7920283,"Sundance Apartments, BYU-I’s newest Approved Housing for women and men is now leasing! Indoor hallways, carefully planned gathering areas..workout room in building, as well as numerous study rooms. Enjoy the game room in the men's building as well.
2 bedroom 3 bedroom and 4 bedroom units & each bedroom has it's own private bath, 65-in tvs, washer and dryer in unit, and 2 fridges.",787.4119192,1032.850776
SUNSET HALL,175 W 3rd S,208-359-0290,1045,1130,Full,Approved Women's Housing,14,10,80,3,www.rexburgstudenthousing.com/new/property/15,43.8200102,-111.7883,"Sunset Hall is a house with two separate floors and entries making it comfortable, homey, and spacious! The property is a house less than 1 block from campus and the Hart Building (fitness center). Each floor has a washer/dryer, dishwasher, a huge kitchen, and plenty of vanity space to get ready each day. You’ll share the Avonlea lounge with a TV for movie nights, study tables, and a piano room!",498.9087283,799.0295788
TOWERS I,"333 W 6th S Rexburg, ID
                                                        83440",208-359-5965,1625,1645,Waiting List,Approved Men's Housing,168,168,100,1,thetowersrexburg.com,43.81314349,-111.7925915,"Offering more square footage than other new complexes, The Towers I is BYU-Idaho approved student housing for Men. Located close to campus, The Towers offer many amenities, including assigned underground parking, enclosed hallways, washer & dryers in each unit, high speed internet, lounge, theatre room, double insulated piano room, oh and guaranteed parking year round! Call today 208-569-6411!",1003.398321,925.5871641
TOWERS II,355 W 5th S,208-390-3706,1625,1645,Waiting List,Approved Women's Housing,248,248,100,3,thetowerstwo.com,43.81508282,-111.7934042,"The Towers Two was built with you in mind! Assigned underground parking, the safety of enclosed hallways, a theater room, a gym, and several lounges-providing lots to do! Inside each unit, you have the luxury of a washer/dryer, 2 fridges, a spacious living room, & huge bedrooms. Have more questions or want to come in for a tour? Call or text us at (208)390-3706.",954.0206273,970.8869737
UNIVERSITY VIEW - MEN,"649 S 2nd W Rexburg, ID
                                                        83440",208-356-6556,1550,1550,Waiting List,Approved Men's Housing,264,50,150,2,Universityviewrexburg.com,43.81259768,-111.788308,"Our 1,430 sq. feet apartments are located near campus and feature a full size washer and dryer in each apartment.  The apartments are complete with two full bathrooms, three bedrooms, and several storage areas.  Amenities include TWO FREE SHUTTLES to and from campus, large fitness center with dance and aerobic floor, two large lounges with kitchens and several study rooms.",800.2964661,615.3070615
UNIVERSITY VIEW - WOMEN,649 S 2nd W,208-356-5556,1550,1750,Waiting List,Approved Women's Housing,450,100,150,5,Universityviewrexburg.com,43.81259768,-111.788308,"Our 1,430 sq. feet apartments are located near campus and feature a full size washer and dryer in each apartment.  The apartments are complete with two full bathrooms, three bedrooms, and several storage areas. Amenities include FREE SHUTTLES to and from campus, large fitness center with dance and aerobic floor, two large lounges with kitchens and several study rooms. NOW OFFERING RENOVATED UNITS!",800.2964661,615.3070615
WHITFIELD HOUSE,"149 E 2nd S, Rexburg, ID 83440",208-356-3001,1340,1770,Full,Approved Women's Housing,7,90,50,1,www.rexburgstudenthousing.com/new/property/22,43.822083,-111.778657,"Whitfield House is a popular home with 1 shared and 5 private bedrooms with lots of extra space and privacy to study and rest. Less than 1 block from campus, the home has a large floor plan; a spacious living room; plenty of storage; tons of parking; a lounge with ping-pong, foosball, TV, study tables, and piano.",643,965
WINDSOR MANOR - MEN,"125 E 2nd S Rexburg, ID
                                                        83440",208-356-6789,1800,2000,Full,Approved Men's Housing,136,87,300,11,www.windsormanor.net,43.82215444,-111.780645,"Feel at home at Windsor Manor, 2 minutes from campus. 
We sort your mail, clean if your roommate doesn't pass, provide super fast maintenance response.
In your apartment, bathroom per bedroom, vacuum, washer/dryer + more…thermostat w/AC.
On-site off-track storage, gym, study/conference rooms for game nights, theater for you + 15 others, music rooms.
Visit our website to begin your adventure.",438.5854751,810.1852152
WINDSOR MANOR - WOMEN,125 E Main St,208-356-6759,1765,1800,Full,Approved Women's Housing,208,87,300,11,www.windsormanor.net,43.82215444,-111.780645,"Feel at home at Windsor Manor, 2 minutes from campus. 
We sort your mail, clean if your roommate doesn't pass, provide super fast maintenance response.
In your apartment, bathroom per bedroom, vacuum, washer/dryer + more…thermostat w/AC.
On-site off-track storage, gym, study/conference rooms for game nights, theater for you + 15 others, music rooms.
Visit our website to begin your adventure.",438.5854751,810.1852152
