Gender,Age,Height,Weight,Number_of_siblings,Dominant_hand,Education,Only_child,Fear_score,Religiosity_score,Smoking,Alcohol,I_live_a_healthy_lifestyle,I_like_music,Music_diversity_score,Punctuality,Lying,Happiness_score
female,22,160,47,0,right handed,college/bachelor degree,yes,66,47,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,36,i am always on time,sometimes,10
male,20,186,88,1,right handed,secondary school,no,86,23,current smoker,drink a lot,Neither Agree nor Disagree,Strongly Agree,56,i am always on time,sometimes,13
male,21,186,89,1,right handed,secondary school,no,52,33,former smoker,social drinker,Neither Agree nor Disagree,Strongly Agree,35,i am often early,only to avoid hurting someone,11
male,21,169,55,2,right handed,secondary school,no,42,47,tried smoking,social drinker,Disagree,Agree,54,i am often early,sometimes,6
,18,168,56,0,right handed,secondary school,yes,58,67,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,58,i am always on time,only to avoid hurting someone,11
male,15,181,63,0,right handed,primary school,yes,46,60,never smoked,never,Disagree,Strongly Agree,36,i am often early,sometimes,12
female,19,163,50,1,right handed,college/bachelor degree,no,52,47,current smoker,social drinker,Neither Agree nor Disagree,Strongly Agree,52,i am always on time,sometimes,11
female,24,169,51,1,right handed,college/bachelor degree,no,44,30,never smoked,drink a lot,Neither Agree nor Disagree,Strongly Agree,58,i am often early,never,9
female,19,160,53,1,right handed,secondary school,yes,50,73,never smoked,social drinker,Agree,Strongly Agree,56,i am always on time,sometimes,9
male,25,184,85,3,left handed,college/bachelor degree,no,44,70,tried smoking,drink a lot,Neither Agree nor Disagree,Strongly Agree,57,i am always on time,only to avoid hurting someone,11
female,20,170,62,1,right handed,college/bachelor degree,no,54,63,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,53,i am often early,sometimes,10
female,19,170,60,2,right handed,secondary school,no,66,50,current smoker,social drinker,Neither Agree nor Disagree,Strongly Agree,56,i am always on time,sometimes,11
male,21,,,1,right handed,secondary school,no,66,60,never smoked,social drinker,Neither Agree nor Disagree,Strongly Agree,61,i am often early,only to avoid hurting someone,9
male,23,184,82,2,right handed,secondary school,no,92,83,tried smoking,social drinker,Agree,Strongly Agree,71,i am always on time,only to avoid hurting someone,13
female,21,176,55,1,right handed,secondary school,no,72,47,tried smoking,social drinker,Strongly Agree,Strongly Agree,61,i am often running late,never,12
male,20,170,62,1,right handed,secondary school,no,44,37,tried smoking,drink a lot,Agree,Strongly Agree,54,i am always on time,sometimes,9
female,20,168,69,1,right handed,secondary school,no,48,70,never smoked,social drinker,Neither Agree nor Disagree,Strongly Agree,61,i am often early,sometimes,10
female,18,173,55,3,right handed,primary school,no,62,63,tried smoking,social drinker,Neither Agree nor Disagree,Agree,54,i am often early,sometimes,9
male,27,180,80,2,right handed,secondary school,no,36,40,former smoker,social drinker,Strongly Disagree,Strongly Disagree,32,i am often running late,sometimes,13
female,17,163,68,0,right handed,secondary school,yes,42,30,current smoker,drink a lot,Neither Agree nor Disagree,Strongly Agree,34,i am always on time,sometimes,11
female,19,178,60,1,right handed,primary school,no,56,67,never smoked,social drinker,Neither Agree nor Disagree,Strongly Agree,50,i am always on time,sometimes,11
male,18,182,70,2,right handed,primary school,no,38,50,tried smoking,social drinker,Agree,Strongly Agree,42,i am always on time,only to avoid hurting someone,12
male,26,192,90,1,right handed,secondary school,no,30,43,current smoker,social drinker,Strongly Disagree,Strongly Agree,39,i am always on time,only to avoid hurting someone,11
male,18,200,90,2,right handed,secondary school,no,46,50,tried smoking,drink a lot,Agree,Strongly Agree,53,i am always on time,only to avoid hurting someone,13
male,30,178,71,2,right handed,masters degree,no,34,50,current smoker,drink a lot,Neither Agree nor Disagree,Strongly Agree,70,i am often early,sometimes,11
female,24,153,42,1,right handed,secondary school,no,54,40,never smoked,social drinker,Disagree,Strongly Agree,53,i am often running late,sometimes,8
female,20,168,51,0,right handed,secondary school,yes,54,80,tried smoking,social drinker,Strongly Disagree,Strongly Agree,48,i am always on time,sometimes,9
male,20,172,56,1,right handed,secondary school,no,42,57,tried smoking,social drinker,Strongly Disagree,Strongly Agree,56,i am always on time,sometimes,9
male,20,176,64,1,right handed,secondary school,no,48,63,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,60,i am often running late,only to avoid hurting someone,11
,25,164,54,1,right handed,secondary school,no,74,83,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,52,i am often running late,only to avoid hurting someone,8
female,19,168,68,3,right handed,secondary school,no,30,60,former smoker,social drinker,Neither Agree nor Disagree,Strongly Agree,56,i am always on time,everytime it suits me,10
female,20,157,48,2,right handed,secondary school,no,52,57,tried smoking,social drinker,Agree,Agree,53,i am often early,sometimes,8
male,21,173,73,5,right handed,secondary school,no,30,57,tried smoking,social drinker,Disagree,Agree,50,i am always on time,sometimes,12
female,19,173,63,1,right handed,secondary school,no,62,60,tried smoking,drink a lot,Neither Agree nor Disagree,Strongly Agree,61,i am often running late,only to avoid hurting someone,13
female,19,171,55,0,right handed,secondary school,yes,48,53,tried smoking,social drinker,Agree,Strongly Agree,47,i am always on time,only to avoid hurting someone,11
female,19,168,60,2,right handed,secondary school,no,56,63,never smoked,social drinker,Neither Agree nor Disagree,Strongly Agree,48,i am often running late,only to avoid hurting someone,5
female,18,165,48,1,right handed,primary school,no,50,67,current smoker,social drinker,Agree,Agree,61,i am always on time,sometimes,12
female,18,168,65,1,right handed,college/bachelor degree,no,58,37,never smoked,social drinker,Disagree,Agree,56,i am always on time,sometimes,11
female,16,174,64,0,right handed,secondary school,yes,38,73,tried smoking,never,Neither Agree nor Disagree,Strongly Agree,44,i am often running late,sometimes,11
female,19,171,57,0,right handed,secondary school,yes,54,60,tried smoking,drink a lot,Agree,Strongly Disagree,54,i am often early,sometimes,12
female,18,173,64,3,right handed,secondary school,no,58,43,former smoker,social drinker,Disagree,Strongly Agree,52,i am often early,only to avoid hurting someone,12
female,19,157,48,2,right handed,primary school,no,48,40,former smoker,drink a lot,Agree,Strongly Agree,41,i am always on time,everytime it suits me,11
female,21,173,59,1,left handed,secondary school,yes,82,57,former smoker,social drinker,Neither Agree nor Disagree,Strongly Agree,53,i am often running late,sometimes,10
male,21,180,80,1,right handed,college/bachelor degree,no,58,30,former smoker,never,Neither Agree nor Disagree,Neutral,32,i am always on time,sometimes,10
female,18,180,60,1,right handed,secondary school,yes,78,67,tried smoking,social drinker,Agree,Strongly Agree,49,i am often early,only to avoid hurting someone,13
female,21,175,63,0,right handed,secondary school,yes,48,63,never smoked,never,Neither Agree nor Disagree,Neutral,42,i am often early,sometimes,10
female,17,178,70,0,right handed,secondary school,yes,50,57,never smoked,social drinker,Agree,,54,i am often early,everytime it suits me,8
female,20,160,46,0,right handed,secondary school,yes,78,40,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,60,i am always on time,everytime it suits me,10
female,19,172,60,1,right handed,primary school,no,56,57,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,57,i am always on time,only to avoid hurting someone,12
male,27,180,80,0,right handed,masters degree,yes,52,60,tried smoking,never,Neither Agree nor Disagree,Strongly Agree,55,i am always on time,only to avoid hurting someone,10
female,22,165,68,2,right handed,college/bachelor degree,yes,50,37,former smoker,drink a lot,Neither Agree nor Disagree,Strongly Agree,58,i am often running late,everytime it suits me,8
female,19,160,55,2,right handed,secondary school,no,54,50,tried smoking,social drinker,Agree,Strongly Agree,52,i am often running late,sometimes,11
female,19,165,55,3,right handed,secondary school,no,52,80,never smoked,social drinker,Neither Agree nor Disagree,Strongly Agree,67,i am often running late,everytime it suits me,12
female,20,176,63,0,right handed,secondary school,yes,52,53,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,45,i am often early,sometimes,10
female,19,164,60,2,right handed,secondary school,no,56,70,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,65,i am always on time,sometimes,13
female,20,155,44,0,right handed,secondary school,yes,58,67,never smoked,social drinker,Neither Agree nor Disagree,Strongly Agree,50,i am often early,sometimes,9
female,17,167,57,2,left handed,primary school,yes,40,60,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,25,i am often early,never,9
female,23,171,59,2,right handed,secondary school,no,40,57,current smoker,social drinker,Agree,Strongly Agree,54,i am often early,only to avoid hurting someone,13
female,20,158,50,2,right handed,secondary school,no,46,63,never smoked,social drinker,Agree,Strongly Agree,67,i am often running late,never,12
female,20,170,60,1,right handed,secondary school,no,68,33,current smoker,social drinker,Agree,Strongly Agree,40,i am often early,only to avoid hurting someone,13
male,19,182,65,2,right handed,secondary school,no,56,70,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,55,i am often running late,everytime it suits me,11
female,20,182,63,1,right handed,secondary school,yes,50,47,tried smoking,social drinker,Strongly Disagree,Strongly Agree,45,i am always on time,sometimes,10
male,19,175,72,4,right handed,secondary school,no,32,70,current smoker,social drinker,Agree,Disagree,51,i am always on time,only to avoid hurting someone,12
male,19,197,96,0,right handed,secondary school,yes,60,60,tried smoking,never,Disagree,Neutral,54,i am often early,only to avoid hurting someone,9
female,18,170,50,1,right handed,secondary school,no,58,60,never smoked,social drinker,Agree,Strongly Agree,37,i am often early,sometimes,9
female,19,165,55,1,right handed,secondary school,no,58,50,former smoker,social drinker,Agree,Strongly Agree,60,i am often early,sometimes,8
female,15,176,53,3,right handed,secondary school,no,42,23,current smoker,drink a lot,Strongly Disagree,Strongly Agree,59,i am often running late,only to avoid hurting someone,11
female,19,167,54,1,right handed,college/bachelor degree,no,52,60,former smoker,social drinker,Neither Agree nor Disagree,Neutral,58,i am often running late,sometimes,11
female,15,170,49,1,right handed,secondary school,no,42,50,tried smoking,social drinker,Strongly Disagree,Strongly Agree,39,i am always on time,sometimes,11
female,19,168,72,1,right handed,secondary school,no,52,47,tried smoking,social drinker,Agree,Strongly Agree,46,i am often running late,sometimes,10
female,21,163,49,2,left handed,masters degree,no,26,83,never smoked,never,Strongly Agree,Strongly Agree,55,i am often early,never,13
female,19,152,47,2,right handed,college/bachelor degree,no,64,50,never smoked,never,Agree,Strongly Agree,43,i am often early,sometimes,10
female,17,158,57,1,right handed,secondary school,no,38,67,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,50,i am often early,sometimes,10
female,23,165,70,1,right handed,college/bachelor degree,no,86,43,current smoker,social drinker,Neither Agree nor Disagree,Strongly Agree,62,i am often running late,only to avoid hurting someone,10
male,24,177,80,0,right handed,secondary school,yes,60,67,never smoked,social drinker,Neither Agree nor Disagree,Strongly Agree,59,i am often early,only to avoid hurting someone,12
female,19,170,55,1,right handed,secondary school,no,46,70,former smoker,social drinker,Neither Agree nor Disagree,Strongly Agree,64,i am often running late,sometimes,9
female,19,178,67,2,right handed,college/bachelor degree,no,58,63,former smoker,drink a lot,Disagree,Strongly Agree,65,i am often running late,sometimes,13
female,22,170,60,0,right handed,secondary school,yes,78,47,current smoker,social drinker,Neither Agree nor Disagree,Strongly Agree,48,i am always on time,sometimes,11
female,20,170,70,1,right handed,college/bachelor degree,no,46,60,former smoker,drink a lot,Disagree,Strongly Agree,62,i am often early,everytime it suits me,9
female,21,,,2,right handed,college/bachelor degree,no,42,77,tried smoking,never,Neither Agree nor Disagree,Strongly Agree,53,i am often running late,only to avoid hurting someone,10
male,19,188,76,0,right handed,secondary school,yes,36,47,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,45,i am often early,only to avoid hurting someone,11
male,19,180,85,2,right handed,secondary school,no,28,57,tried smoking,social drinker,Agree,Strongly Agree,63,i am always on time,only to avoid hurting someone,12
female,20,161,53,1,right handed,college/bachelor degree,no,68,80,current smoker,social drinker,Neither Agree nor Disagree,Strongly Agree,39,i am always on time,only to avoid hurting someone,11
female,18,178,69,1,right handed,secondary school,no,38,70,current smoker,social drinker,Neither Agree nor Disagree,Strongly Agree,57,i am often running late,never,10
male,19,178,74,1,right handed,secondary school,no,46,40,former smoker,drink a lot,Agree,Strongly Agree,62,i am often early,sometimes,10
female,20,165,50,2,right handed,secondary school,no,76,60,tried smoking,never,Neither Agree nor Disagree,Strongly Agree,30,i am often early,sometimes,10
male,22,187,91,1,right handed,secondary school,no,40,47,never smoked,social drinker,Agree,Strongly Agree,53,i am often early,never,12
male,20,178,68,2,right handed,secondary school,no,42,33,never smoked,social drinker,Agree,Strongly Disagree,19,i am always on time,only to avoid hurting someone,14
female,20,168,55,2,right handed,secondary school,no,54,73,tried smoking,social drinker,Agree,Strongly Agree,41,i am always on time,sometimes,12
female,27,168,55,1,right handed,masters degree,no,76,67,former smoker,social drinker,Neither Agree nor Disagree,Strongly Agree,55,i am often running late,only to avoid hurting someone,12
female,19,180,57,1,right handed,secondary school,yes,64,57,former smoker,social drinker,Agree,Strongly Agree,50,i am always on time,only to avoid hurting someone,11
male,22,192,80,2,left handed,secondary school,no,40,63,tried smoking,never,Agree,Strongly Agree,47,i am always on time,sometimes,13
male,19,188,98,0,right handed,college/bachelor degree,yes,26,37,current smoker,drink a lot,Neither Agree nor Disagree,Strongly Agree,47,i am often early,sometimes,12
female,20,173,58,1,right handed,secondary school,no,38,73,tried smoking,social drinker,Agree,Agree,49,i am often running late,sometimes,13
male,20,193,85,1,right handed,secondary school,no,34,70,tried smoking,social drinker,Neither Agree nor Disagree,Agree,59,i am always on time,sometimes,13
female,21,184,120,1,right handed,secondary school,no,54,60,never smoked,social drinker,Neither Agree nor Disagree,Strongly Agree,57,i am often early,sometimes,11
female,16,167,62,1,right handed,primary school,yes,50,37,tried smoking,never,Strongly Disagree,Strongly Agree,51,i am always on time,only to avoid hurting someone,3
female,19,177,63,1,right handed,secondary school,no,48,33,former smoker,never,Agree,Strongly Agree,48,i am often early,sometimes,9
female,18,167,57,1,right handed,secondary school,no,76,67,tried smoking,drink a lot,Agree,Strongly Agree,60,i am always on time,everytime it suits me,9
male,23,190,90,1,right handed,college/bachelor degree,no,26,30,former smoker,drink a lot,Neither Agree nor Disagree,Strongly Agree,45,i am always on time,sometimes,13
male,19,187,83,0,right handed,secondary school,yes,32,47,former smoker,social drinker,Neither Agree nor Disagree,Strongly Agree,44,i am always on time,only to avoid hurting someone,9
female,19,163,51,0,right handed,secondary school,no,74,63,tried smoking,drink a lot,Agree,Strongly Agree,53,i am often running late,sometimes,10
female,22,173,52,1,right handed,college/bachelor degree,no,80,50,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,49,i am often early,sometimes,11
female,18,165,65,1,right handed,secondary school,no,26,83,tried smoking,social drinker,Agree,Strongly Agree,51,i am often running late,everytime it suits me,12
male,20,190,92,1,right handed,college/bachelor degree,no,30,63,never smoked,social drinker,Strongly Disagree,Agree,38,i am often running late,only to avoid hurting someone,8
female,19,178,58,1,right handed,secondary school,no,74,90,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,57,i am often running late,sometimes,11
female,25,167,76,1,right handed,masters degree,no,54,40,never smoked,social drinker,Agree,Agree,54,i am often early,only to avoid hurting someone,9
female,18,160,53,2,right handed,secondary school,yes,42,43,current smoker,social drinker,Neither Agree nor Disagree,Strongly Agree,43,i am always on time,everytime it suits me,12
female,20,169,64,0,right handed,college/bachelor degree,yes,70,63,current smoker,social drinker,Disagree,Strongly Agree,45,i am often running late,never,12
female,15,174,63,1,right handed,primary school,no,66,77,never smoked,social drinker,Neither Agree nor Disagree,Strongly Agree,69,i am always on time,sometimes,7
female,19,176,68,2,right handed,secondary school,no,56,57,never smoked,never,Neither Agree nor Disagree,Strongly Agree,52,i am often running late,only to avoid hurting someone,9
female,19,178,68,2,right handed,secondary school,yes,70,63,tried smoking,never,Agree,Strongly Agree,44,i am always on time,sometimes,12
female,16,158,50,0,right handed,secondary school,yes,30,47,never smoked,never,Neither Agree nor Disagree,Strongly Agree,42,i am often running late,sometimes,13
male,19,180,78,1,right handed,college/bachelor degree,no,36,67,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,44,i am always on time,sometimes,11
female,18,167,57,0,right handed,college/bachelor degree,yes,34,73,former smoker,social drinker,Neither Agree nor Disagree,Strongly Agree,73,i am often early,everytime it suits me,13
male,15,170,75,1,right handed,primary school,no,42,57,tried smoking,social drinker,Strongly Disagree,Disagree,42,i am often early,sometimes,12
female,20,170,55,1,right handed,secondary school,no,58,67,current smoker,social drinker,Neither Agree nor Disagree,Strongly Agree,48,i am often running late,sometimes,12
male,20,180,75,2,right handed,secondary school,no,50,73,never smoked,never,Disagree,Strongly Agree,83,i am always on time,sometimes,14
male,20,184,68,1,left handed,secondary school,no,60,77,tried smoking,social drinker,Strongly Disagree,Strongly Agree,33,i am often running late,sometimes,10
female,20,170,60,1,right handed,secondary school,yes,52,53,former smoker,social drinker,Neither Agree nor Disagree,Strongly Agree,39,i am often running late,sometimes,11
male,19,180,65,2,right handed,secondary school,no,36,43,tried smoking,social drinker,#N/A,Strongly Agree,46,i am often early,sometimes,10
female,16,169,48,0,right handed,currently a primary school pupil,yes,92,67,never smoked,social drinker,Strongly Disagree,Strongly Agree,48,i am always on time,sometimes,9
female,18,166,65,1,left handed,secondary school,no,66,80,former smoker,social drinker,Agree,Strongly Agree,59,i am often running late,sometimes,10
male,20,178,88,0,right handed,secondary school,no,42,73,tried smoking,social drinker,Agree,Strongly Agree,51,i am often early,sometimes,11
female,16,162,55,0,right handed,college/bachelor degree,yes,70,70,never smoked,never,Agree,Strongly Agree,58,i am always on time,sometimes,10
female,18,160,50,1,right handed,primary school,no,60,53,tried smoking,social drinker,Agree,Strongly Agree,55,i am always on time,everytime it suits me,12
male,20,178,68,1,left handed,secondary school,no,54,70,never smoked,social drinker,Neither Agree nor Disagree,Strongly Agree,47,i am often early,never,9
female,18,168,65,1,right handed,primary school,no,58,70,never smoked,social drinker,Neither Agree nor Disagree,Strongly Agree,49,i am often running late,sometimes,11
male,19,185,62,1,right handed,secondary school,no,38,53,tried smoking,social drinker,Disagree,Strongly Agree,64,i am often early,sometimes,11
female,19,175,58,0,right handed,college/bachelor degree,yes,38,53,never smoked,social drinker,Neither Agree nor Disagree,Strongly Agree,50,i am often running late,only to avoid hurting someone,12
female,20,167,55,1,right handed,secondary school,no,68,53,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,51,i am often early,sometimes,11
male,18,193,84,0,right handed,college/bachelor degree,yes,50,53,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,55,i am often running late,sometimes,12
female,17,160,60,1,right handed,primary school,no,56,77,never smoked,drink a lot,Neither Agree nor Disagree,Strongly Agree,47,i am always on time,everytime it suits me,9
female,22,171,52,0,right handed,secondary school,yes,72,53,tried smoking,social drinker,Disagree,Strongly Agree,51,i am always on time,only to avoid hurting someone,7
male,17,182,92,1,right handed,secondary school,yes,32,70,former smoker,social drinker,Strongly Agree,Strongly Agree,54,i am always on time,sometimes,13
female,22,165,60,2,right handed,secondary school,no,74,77,tried smoking,social drinker,Neither Agree nor Disagree,Agree,41,i am often early,sometimes,9
female,16,174,65,1,right handed,secondary school,yes,48,80,never smoked,never,Neither Agree nor Disagree,Strongly Agree,50,i am often running late,sometimes,11
female,24,169,50,1,right handed,masters degree,no,48,57,never smoked,never,Disagree,Strongly Agree,43,i am often early,sometimes,10
male,17,185,73,1,right handed,primary school,no,30,77,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,57,i am always on time,only to avoid hurting someone,8
male,17,170,60,1,left handed,secondary school,no,66,33,never smoked,never,Neither Agree nor Disagree,Strongly Agree,47,i am always on time,sometimes,10
male,17,182,76,2,right handed,secondary school,no,36,77,tried smoking,drink a lot,Agree,Strongly Agree,45,i am often running late,everytime it suits me,14
female,15,165,48,3,left handed,secondary school,no,82,80,never smoked,social drinker,Neither Agree nor Disagree,Strongly Agree,34,i am often running late,everytime it suits me,9
female,18,160,50,2,right handed,primary school,no,62,57,tried smoking,social drinker,Agree,Strongly Agree,56,i am always on time,everytime it suits me,12
female,18,158,53,2,right handed,primary school,no,64,80,tried smoking,social drinker,Strongly Disagree,Strongly Agree,43,i am always on time,sometimes,11
male,16,186,63,1,right handed,primary school,no,74,33,former smoker,social drinker,Disagree,Strongly Agree,33,i am often early,everytime it suits me,5
female,20,173,68,1,right handed,secondary school,yes,52,47,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,51,i am always on time,only to avoid hurting someone,11
female,29,168,56,2,right handed,masters degree,no,60,40,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,54,i am always on time,sometimes,12
female,24,172,68,3,right handed,college/bachelor degree,no,78,50,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,42,i am often early,sometimes,11
female,18,164,60,0,right handed,secondary school,yes,58,50,tried smoking,social drinker,Neither Agree nor Disagree,Agree,45,i am often early,sometimes,12
male,17,185,70,1,right handed,primary school,yes,38,47,current smoker,drink a lot,Strongly Disagree,Strongly Agree,39,i am always on time,everytime it suits me,9
male,18,175,65,1,left handed,primary school,no,68,20,tried smoking,drink a lot,Neither Agree nor Disagree,Strongly Agree,42,i am often early,everytime it suits me,10
male,16,182,75,1,right handed,secondary school,no,44,40,never smoked,never,Agree,Strongly Agree,58,i am always on time,sometimes,14
female,17,170,65,2,right handed,primary school,no,62,50,never smoked,social drinker,Neither Agree nor Disagree,Strongly Agree,45,i am always on time,only to avoid hurting someone,13
male,20,187,68,2,right handed,college/bachelor degree,no,34,53,tried smoking,social drinker,Disagree,Disagree,41,i am often early,sometimes,10
female,16,169,63,1,right handed,primary school,no,60,73,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,61,i am often running late,sometimes,12
male,19,189,76,1,right handed,secondary school,no,46,70,tried smoking,social drinker,Agree,Strongly Agree,41,i am always on time,only to avoid hurting someone,12
female,18,166,60,1,right handed,secondary school,no,48,70,former smoker,social drinker,Neither Agree nor Disagree,Strongly Agree,44,i am often running late,sometimes,9
female,20,161,59,1,right handed,secondary school,no,60,83,former smoker,social drinker,Neither Agree nor Disagree,Strongly Agree,53,i am often early,sometimes,11
male,19,180,80,1,right handed,secondary school,no,40,50,former smoker,drink a lot,Neither Agree nor Disagree,Strongly Agree,39,i am always on time,only to avoid hurting someone,9
male,18,185,74,1,left handed,secondary school,no,40,47,tried smoking,social drinker,Strongly Agree,Agree,62,i am always on time,sometimes,10
male,21,179,96,0,right handed,secondary school,yes,42,57,never smoked,never,Strongly Agree,Strongly Agree,46,i am often early,sometimes,13
male,19,170,68,2,right handed,college/bachelor degree,no,64,53,current smoker,social drinker,Neither Agree nor Disagree,Agree,49,i am always on time,everytime it suits me,9
female,20,184,72,2,right handed,secondary school,no,66,30,current smoker,social drinker,Strongly Disagree,Strongly Agree,50,i am always on time,sometimes,11
female,23,180,62,1,right handed,college/bachelor degree,no,66,33,never smoked,social drinker,Disagree,Strongly Agree,52,i am often running late,only to avoid hurting someone,7
female,19,166,58,1,right handed,college/bachelor degree,no,50,87,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,51,i am often early,everytime it suits me,13
female,19,167,50,2,right handed,college/bachelor degree,no,52,50,never smoked,social drinker,Agree,Strongly Agree,59,i am always on time,only to avoid hurting someone,8
female,19,167,50,2,right handed,college/bachelor degree,no,48,50,never smoked,social drinker,Agree,Strongly Agree,59,i am always on time,only to avoid hurting someone,11
male,20,178,75,2,right handed,college/bachelor degree,no,54,37,tried smoking,social drinker,Agree,Disagree,53,i am often early,sometimes,10
male,24,175,70,5,right handed,college/bachelor degree,no,24,80,never smoked,social drinker,Agree,Strongly Agree,58,i am always on time,sometimes,11
male,19,190,85,1,right handed,college/bachelor degree,no,40,33,tried smoking,social drinker,Agree,Strongly Agree,37,i am always on time,never,9
male,20,178,67,2,right handed,secondary school,no,48,70,never smoked,social drinker,Neither Agree nor Disagree,Strongly Agree,56,i am always on time,sometimes,12
female,18,179,55,1,right handed,primary school,no,30,60,current smoker,drink a lot,Agree,Strongly Agree,51,i am often early,sometimes,12
male,17,180,78,1,left handed,primary school,no,42,53,tried smoking,never,Agree,Strongly Agree,41,i am often early,only to avoid hurting someone,8
female,19,168,58,2,right handed,secondary school,no,82,37,never smoked,social drinker,Neither Agree nor Disagree,Strongly Agree,57,i am often running late,everytime it suits me,11
female,19,164,53,4,right handed,secondary school,no,48,77,never smoked,social drinker,Strongly Disagree,Strongly Agree,73,i am always on time,sometimes,13
male,20,187,56,2,right handed,secondary school,no,26,30,tried smoking,social drinker,Disagree,Agree,49,i am often early,sometimes,10
male,20,174,72,0,left handed,college/bachelor degree,yes,42,33,never smoked,drink a lot,Neither Agree nor Disagree,Strongly Agree,29,i am often early,only to avoid hurting someone,7
female,21,176,62,1,right handed,secondary school,no,82,57,tried smoking,social drinker,Agree,Strongly Agree,42,i am always on time,sometimes,11
female,20,170,60,2,right handed,secondary school,no,74,23,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,42,i am often early,only to avoid hurting someone,9
female,20,170,56,1,right handed,secondary school,no,62,47,former smoker,social drinker,Neither Agree nor Disagree,Strongly Agree,29,i am often running late,sometimes,13
female,17,158,70,0,right handed,secondary school,yes,40,50,never smoked,social drinker,Neither Agree nor Disagree,Strongly Agree,54,i am often early,everytime it suits me,9
female,20,175,53,2,right handed,secondary school,no,50,43,tried smoking,drink a lot,Strongly Disagree,Strongly Agree,50,i am often running late,sometimes,10
male,25,174,67,2,right handed,masters degree,no,42,67,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,61,i am always on time,sometimes,12
female,20,170,58,1,left handed,secondary school,no,44,70,tried smoking,social drinker,Disagree,Strongly Agree,53,i am often running late,only to avoid hurting someone,11
female,21,173,58,1,right handed,secondary school,no,46,47,tried smoking,drink a lot,Neither Agree nor Disagree,Strongly Agree,49,i am always on time,everytime it suits me,10
female,21,158,49,0,right handed,secondary school,yes,94,60,current smoker,social drinker,Agree,Strongly Agree,47,i am often running late,sometimes,14
male,22,185,90,1,right handed,college/bachelor degree,no,50,47,current smoker,drink a lot,Agree,Strongly Agree,54,i am always on time,only to avoid hurting someone,12
female,19,170,58,1,right handed,secondary school,no,70,77,former smoker,social drinker,Neither Agree nor Disagree,Strongly Agree,55,i am often running late,sometimes,10
male,25,178,77,1,right handed,college/bachelor degree,no,34,30,current smoker,drink a lot,Agree,Strongly Agree,74,i am always on time,only to avoid hurting someone,12
female,19,166,55,0,right handed,secondary school,yes,44,47,tried smoking,drink a lot,Agree,Strongly Agree,53,i am always on time,sometimes,12
female,25,167,64,2,right handed,masters degree,no,44,70,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,53,i am often running late,only to avoid hurting someone,11
female,25,169,60,1,right handed,masters degree,no,64,73,former smoker,social drinker,Agree,Strongly Agree,65,i am often running late,sometimes,10
female,21,168,60,0,right handed,secondary school,yes,62,70,tried smoking,social drinker,Agree,Strongly Agree,45,i am always on time,sometimes,12
male,20,178,65,2,right handed,secondary school,no,40,70,never smoked,social drinker,Agree,Agree,42,i am always on time,never,11
female,24,165,49,2,right handed,masters degree,no,64,63,never smoked,social drinker,Neither Agree nor Disagree,Agree,47,i am always on time,sometimes,11
female,30,160,47,2,right handed,masters degree,no,68,60,tried smoking,social drinker,Disagree,Strongly Agree,47,i am always on time,everytime it suits me,11
male,21,176,75,1,right handed,secondary school,no,26,33,former smoker,never,Agree,Strongly Agree,34,i am always on time,sometimes,12
male,27,186,77,3,right handed,masters degree,no,80,50,never smoked,social drinker,Disagree,Strongly Agree,35,i am often running late,only to avoid hurting someone,6
male,21,172,68,1,right handed,college/bachelor degree,no,30,30,never smoked,social drinker,Agree,Strongly Agree,52,i am always on time,sometimes,11
female,16,164,50,0,right handed,primary school,yes,40,27,never smoked,social drinker,Disagree,Strongly Agree,51,i am always on time,sometimes,9
female,21,175,75,1,right handed,college/bachelor degree,no,72,83,current smoker,never,Agree,Strongly Agree,41,i am often early,sometimes,9
